movie_name,Box Office India,Genre1,Genre3,movie_director,actor1,actor2,actor3
Thugs Of Hindostan,151.04,Action, Adventure,Vijay Krishna Acharya,ÊAmitabh Bachchan , Aamir Khan, Katrina Kaif
Baazaar,28.02,Crime, Drama,Gauravv K Chawla,ÊSaif Ali Khan , Rohan Mehra, Chitrangada Singh
Badhaai Ho,136.8,Comedy,,Amit Ravindernath Sharma,ÊAyushman Khurana , Sanya Malhotra, Neena Gupta
Tumbbad,13.48,Horror, Thriller,Rahi Anil Barve,ÊSohum Shah , Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar
AndhaDhun,41.9,Thriller,,Sriram Raghavan,,,
Sui Dhaaga: Made In India,79.02,,Romance,Sharat Katariya,ÊVarun Dhawan , Anushka Sharma, Raghubir Yadav
Pataakha,7.64,Drama,,Vishal Bhardwaj,ÊSanya Malhotra , Radhika Madan, Sunil Grover
Batti Gul Meter Chalu,37.26,Drama,,Shree Narayan Singh,ÊShahid Kapoor , Shraddha Kapoor, Yami Gautam
Manmarziyaan,26.45,Drama, Romance,Anurag Kashyap,ÊAbhishek Bachchan , Taapsee Pannu, Vicky Kaushal
Yamla Pagla Deewana Phir Se,9.42,Comedy,,Bobby Deol,,,
Stree,129.67,Comedy, Horror,Amar Kaushik,ÊRajkummar Rao , Shraddha Kapoor, Aparshakti Khurrana
Happy Phirr Bhag Jayegi,18.11,Comedy,,Mudassar Aziz,ÊSonakshi Sinha , Diana Penty, Jimmy Shergill
Gold,107.37,,,Reema Kagti,ÊAkshay Kumar , Mouni Roy, Kunal Kapoor
Satyameva Jayate,75.09,Action, Thriller,Milap Zaveri,ÊJohn Abraham , Manoj Bajpai, Aisha Sharma
Fanney Khan,9.85,Drama,,Atul Manjrekar,ÊAnil Kapoor , Aishwarya Rai, Rajkummar Rao
Mulk,17.51,Drama,,Anubhav Sinha,ÊRishi Kapoor , Taapsee Pannu, Rajat Kapoor
Karwaan,16.55,Drama, Comedy,Akarsh Khurana,ÊIrrfan Khan , Dulquer Salmaan, Mithila Palkar
Dhadak,69.16,, Romance,Shashank Khaitan,ÊIshaan Khatter , Janhvi Kapoor, Ashutosh Rana
Soorma,30.11,Biographical, Sports,Shaad Ali,ÊDiljit Dosanjh , Taapsee Pannu, Angad Bedi
Sanju,341.22,Biographical,,Rajkumar Hirani,ÊRanbir Kapoor , Paresh Rawal, Manisha Koirala
Race 3,161.04,Action, Thriller,Remo D'Souza,ÊSalman Khan , Jacqueline Fernandez, Anil Kapoor
Veere Di Wedding,80.23,Comedy,,Shashanka Ghosh,ÊKareena Kapoor , Sonam Kapoor, Swara Bhaskar
Parmanu: The Story of Pokhran,65.36,Action,,Abhishek Sharma,ÊJohn Abraham , Diana Penty, Boman Irani
Raazi,123.17,, Thriller,Meghna Gulzar,ÊAlia Bhatt , Vicky Kaushal, Rajit Kapoor
102 Not Out,51.79,Comedy,,Umesh Shukla,ÊAmitabh Bachchan , Rishi Kapoor, Jimit Trivedi
Omerta,3.63,Drama,,Hansal Mehta,ÊRajkummar Rao , Rajesh Tailang, Timothy Ryan Hickernell
Nanu Ki Jaanu,4.09,Comedy,,Faraz Haider,ÊAbhay Deol , Patralekha, Manu Rishi
October,45.36,Drama, Romance,Shoojit Sircar,ÊVarun Dhawan , Banita Sandhu, Gitanjali Rao
Blackmail,19.11,Comedy,,Abhinay Deo,ÊIrrfan Khan , Kirti Kulhari, Arunoday Singh
Baaghi 2,165.5,Action, Romance,Ahmed Khan,ÊTiger Shroff , Disha Patani, Manoj Bajpai
Hichki,46.17,Drama, Social,Siddharth P Malhotra,ÊRani Mukherjee , Supriya Pilgaonkar, Sachin Pilgaonkar
Raid,101.54,, Thriller,Rajkumar Gupta,ÊAjay Devgn , Ileana D'cruz, Saurabh Shukla
Hate Story IV,20.04,Thriller,,Vishal Pandya,ÊUrvashi Rautela , Vivan Bhatena, Karan Wahi
Pari,22.75,Horror,,Prosit Roy,ÊAnushka Sharma , Parambrata Chattopadhyay, Rajat Kapoor
Welcome To New York,0,Comedy,,Chakri Toleti,ÊSonakshi Sinha , Diljit Dosanjh, Karan Johar
Sonu Ke Titu Ki Sweety,108.71,Comedy,,Luv Ranjan,ÊKartik Aaryan , Nushrat Bharucha, Sunny Singh Nijjar
